Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Family_Communication,Weekend_Usage_Hours,Addiction_Level
6.4,7.9,72,4,2.0,5,6,4,1,0.7,23,13,0.7,2.4,0.7,3,7.4,8.6
2.0,8.4,78,10,1.6,5,1,10,0,0.4,140,17,2.0,0.8,2.4,1,5.1,6.8
2.6,6.8,65,0,1.3,6,5,2,1,1.0,26,6,1.8,2.8,1.1,6,9.5,5.5
4.4,5.0,68,7,3.7,2,4,8,0,1.8,70,18,2.4,1.1,0.7,2,5.1,10.0
4.8,6.5,57,7,0.7,9,10,8,0,0.8,68,16,0.5,3.7,0.0,3,7.9,10.0
7.7,5.9,75,2,2.2,2,8,10,0,1.0,74,16,2.4,2.9,0.9,2,4.2,10.0
4.2,5.6,88,10,0.5,9,6,2,0,1.1,58,19,3.3,0.4,0.2,5,7.1,10.0
4.6,5.7,98,4,0.6,8,5,1,0,1.1,46,18,2.2,2.5,1.7,3,7.4,10.0
2.9,6.5,94,5,0.0,8,7,5,0,1.3,126,15,3.3,1.1,0.0,4,3.4,9.6
6.8,5.5,55,1,0.6,9,10,10,0,1.1,129,10,3.2,2.6,0.7,8,4.9,10.0
4.7,5.9,61,10,0.1,10,4,2,0,2.0,95,12,3.3,2.4,0.6,3,5.1,10.0
4.1,7.6,85,6,0.1,3,3,3,0,0.8,25,20,3.0,0.2,1.5,3,7.7,8.0
0.0,6.0,75,0,0.8,5,7,4,0,1.2,111,7,3.0,1.6,0.0,1,3.6,5.2
4.3,9.3,61,2,0.0,7,8,4,1,0.3,31,5,2.6,2.6,0.8,5,6.4,6.5
3.3,8.0,60,7,0.4,6,6,2,0,1.6,70,20,3.0,1.5,0.8,9,4.9,9.2
8.0,5.8,79,7,1.1,1,1,4,1,0.7,130,17,1.8,2.4,1.4,4,4.5,10.0
5.0,5.1,90,3,1.0,6,8,9,1,0.7,68,18,2.6,2.4,1.3,9,8.3,10.0
2.5,4.8,51,10,1.3,6,10,1,1,0.5,83,6,2.0,0.0,3.0,5,4.5,5.0
4.8,4.0,81,0,1.6,9,5,4,1,1.4,124,18,2.8,2.2,1.4,6,4.7,10.0
5.0,5.5,71,6,0.4,7,3,10,1,1.0,92,14,1.5,0.6,1.5,7,9.0,9.0
7.1,3.0,56,6,0.0,1,4,1,1,1.4,116,18,2.2,2.3,2.1,5,4.1,10.0
7.9,6.5,55,4,0.0,8,9,5,1,2.0,97,11,1.8,0.8,0.3,9,2.4,10.0
7.4,6.4,81,9,0.4,4,10,4,1,1.4,116,6,1.2,0.0,1.0,5,3.9,8.9
2.5,5.4,66,0,0.6,9,8,4,0,0.6,85,14,1.9,1.2,1.7,9,5.0,7.4
6.4,7.8,62,3,0.0,6,3,7,1,0.6,41,11,2.6,3.6,2.2,5,9.4,10.0
7.0,7.9,89,1,0.7,3,10,8,0,1.0,56,11,2.4,0.8,0.0,9,3.2,9.6
5.1,4.3,63,9,1.3,4,8,6,0,0.0,49,6,3.0,0.8,2.2,1,7.9,8.9
6.9,7.1,98,8,0.2,8,4,8,0,1.2,54,7,1.3,0.8,0.3,10,6.9,7.9
4.0,6.2,59,7,0.2,10,10,1,0,0.7,114,13,2.7,2.5,0.8,5,6.9,10.0
6.6,9.4,82,3,1.1,7,4,7,0,0.3,83,20,0.7,1.8,0.5,5,3.5,10.0
5.7,6.2,77,3,1.6,4,1,8,0,2.0,115,12,2.3,1.0,1.9,3,6.2,10.0
2.9,5.8,67,9,0.0,7,3,1,0,1.1,86,13,2.6,1.7,0.9,8,7.0,8.6
4.8,4.1,63,9,1.2,9,7,7,0,0.3,91,20,1.9,1.6,1.4,4,8.0,10.0
7.3,6.3,77,6,0.5,3,5,6,0,0.7,138,6,2.8,1.7,2.4,4,8.6,10.0
4.9,5.6,98,8,0.4,4,2,3,1,0.5,121,10,4.1,0.7,1.3,1,6.3,10.0
6.7,5.9,79,7,0.0,2,9,7,1,0.2,130,17,2.2,2.1,0.2,5,3.1,10.0
2.2,8.2,60,5,2.0,10,7,3,1,0.5,70,10,3.4,1.1,2.3,2,9.7,6.0
3.3,7.6,55,0,0.0,4,2,6,0,1.2,47,15,2.8,0.0,0.6,1,7.2,6.2
6.8,4.8,76,6,2.2,2,8,5,1,0.9,142,12,4.0,0.0,1.6,5,7.9,10.0
5.2,6.6,93,4,0.0,8,10,4,1,1.1,36,18,2.5,1.9,1.6,10,7.5,10.0
6.0,3.1,78,1,1.0,4,4,2,0,0.6,130,6,2.7,1.8,1.6,3,10.0,10.0
5.9,5.0,74,1,1.0,9,8,3,1,0.8,94,6,4.6,2.7,1.2,2,4.0,10.0
3.7,4.6,72,0,0.6,4,10,7,1,1.2,146,18,2.0,2.2,1.8,10,4.6,10.0
8.4,7.7,57,3,1.4,6,8,5,0,0.5,49,14,1.3,1.5,1.4,10,4.6,10.0
0.8,7.4,70,7,1.7,9,1,1,1,0.8,67,10,2.9,0.9,1.2,6,8.9,4.2
7.2,3.0,84,4,1.8,3,8,5,1,0.9,83,8,2.9,2.6,1.6,4,6.4,10.0
4.6,5.3,91,4,0.9,10,3,6,1,0.8,129,6,1.6,2.2,0.8,6,3.4,9.5
2.4,6.8,63,8,0.0,9,8,7,0,0.8,50,16,2.0,1.3,0.9,1,8.0,6.5
4.3,6.6,94,9,1.0,2,10,4,0,0.8,47,17,1.6,1.4,0.0,5,0.7,8.3
6.8,6.1,92,8,2.0,9,1,5,1,1.0,46,6,2.1,1.7,1.7,5,2.9,9.7
6.3,5.4,100,8,2.0,5,5,3,0,1.8,30,12,1.6,1.4,1.8,5,5.5,9.6
5.3,9.7,52,5,1.0,3,3,8,1,1.7,145,9,2.3,1.3,0.0,6,7.3,8.8
4.4,5.7,99,2,1.2,1,4,10,1,0.9,58,9,2.5,1.0,0.6,2,4.3,8.0
8.1,6.7,50,0,2.0,4,7,7,1,0.5,63,7,2.1,0.0,1.8,7,7.2,9.5
3.6,6.0,65,9,0.4,5,2,6,1,1.6,83,11,1.1,2.2,0.8,4,4.5,7.8
5.0,5.5,66,5,0.8,2,10,10,1,1.4,129,17,2.7,1.6,1.2,1,7.1,10.0
4.1,7.2,57,10,0.9,3,10,1,0,1.4,145,10,1.5,1.7,0.7,7,6.7,8.6
4.3,9.2,53,8,0.5,10,3,10,1,1.6,47,14,2.7,1.2,0.0,2,5.6,7.3
4.2,7.6,58,1,1.2,4,2,7,1,1.1,59,15,2.7,1.1,0.8,9,4.3,8.4
6.4,4.4,60,5,0.5,7,1,3,0,0.6,42,10,2.4,1.2,0.4,5,5.9,10.0
3.3,7.2,74,4,1.3,2,7,4,1,1.0,111,6,2.7,1.8,1.6,6,4.3,7.6
5.7,8.0,96,1,0.9,3,4,2,1,1.5,65,20,3.3,2.7,1.9,3,7.8,10.0
5.7,6.2,97,4,1.4,7,2,4,0,0.8,134,14,2.3,1.5,0.0,5,5.2,10.0
1.8,4.1,98,2,1.3,9,6,9,1,0.5,49,6,2.6,1.9,0.8,5,7.8,6.4
0.2,5.4,60,5,1.5,6,3,2,1,2.4,102,17,1.7,1.2,0.1,10,6.6,5.8
2.7,6.9,55,9,0.7,6,8,6,1,2.1,139,13,1.6,2.9,0.9,8,7.6,9.1
4.3,6.7,93,6,0.4,7,9,6,0,0.8,33,13,2.5,0.0,1.8,8,4.0,6.7
4.5,6.5,85,6,0.8,10,8,10,0,0.5,22,18,4.3,2.0,1.0,8,5.7,10.0
4.6,5.6,91,6,1.6,3,7,9,0,0.7,128,14,2.9,0.9,1.6,3,3.0,10.0
7.5,5.9,84,6,1.5,7,9,6,0,1.6,76,13,2.1,2.1,0.8,8,11.5,10.0
5.3,6.1,98,2,1.7,9,4,2,1,1.1,51,7,3.2,0.0,0.9,1,6.1,7.9
4.9,4.8,73,3,1.8,5,3,2,0,1.1,105,14,1.0,0.0,1.0,8,4.2,8.4
5.4,6.9,57,10,0.6,9,3,9,0,1.2,45,5,0.2,1.2,1.2,3,5.9,5.3
0.5,6.2,57,7,1.0,6,6,1,0,0.9,73,7,4.0,2.3,1.2,8,5.7,6.6
7.6,6.0,100,3,1.4,4,4,6,1,1.0,105,9,3.9,0.3,1.3,8,9.4,10.0
7.6,3.0,69,10,0.4,5,7,8,0,0.5,66,7,2.1,3.1,2.0,5,5.8,10.0
2.5,5.6,87,9,0.7,8,5,3,0,1.6,90,12,3.4,1.4,1.2,2,6.9,8.7
5.5,6.4,93,10,0.3,8,10,7,1,1.5,57,9,3.0,0.8,0.3,4,9.9,9.0
2.7,4.6,51,6,0.6,4,7,8,0,1.3,100,12,3.8,1.0,2.6,6,4.3,9.6
7.0,5.4,96,0,0.5,5,9,9,0,1.2,100,18,2.8,1.8,0.4,9,3.4,10.0
5.3,5.0,83,0,1.0,7,3,7,1,1.0,22,10,2.6,2.7,1.7,9,1.7,10.0
4.7,5.3,94,1,1.5,9,6,4,0,0.5,104,12,2.5,1.9,0.9,4,4.5,10.0
5.4,4.9,68,10,1.2,1,2,6,1,0.6,127,12,3.4,1.1,2.4,3,3.3,10.0
8.5,5.2,63,6,1.0,9,10,9,1,1.1,59,17,2.3,2.7,3.0,9,9.0,10.0
6.2,4.4,56,4,0.9,1,5,6,1,1.5,46,14,2.2,1.2,0.0,5,2.9,10.0
2.7,5.1,82,9,0.4,3,5,6,0,0.5,67,17,3.5,0.9,1.0,2,1.8,9.3
3.5,5.1,77,6,1.7,1,1,2,1,1.2,91,9,2.0,0.9,1.1,2,7.7,7.5
3.5,7.2,94,0,0.5,1,6,7,0,2.0,84,11,2.7,2.9,0.8,10,5.2,9.4
6.6,5.0,84,4,1.0,2,6,8,1,0.4,63,16,1.7,0.0,1.1,5,6.7,10.0
6.1,7.5,71,10,0.6,7,10,4,0,1.5,39,20,1.8,1.9,2.6,9,5.8,10.0
3.3,5.6,59,6,0.6,7,4,10,1,1.2,140,5,2.6,1.7,0.2,9,1.8,8.6
6.3,7.2,81,7,0.0,3,4,3,0,1.9,77,15,2.5,0.4,1.8,7,5.0,10.0
6.5,7.9,93,10,1.7,9,4,1,1,0.6,113,8,4.3,2.5,0.7,10,7.1,10.0
4.6,8.4,84,4,1.8,3,4,1,0,0.5,51,18,4.4,2.2,0.7,9,6.8,10.0
1.6,6.0,75,9,1.0,8,4,4,0,0.3,62,17,1.7,1.2,0.9,10,4.1,6.1
8.1,7.7,71,5,0.1,9,3,5,1,1.4,143,6,2.8,0.7,0.0,9,6.4,10.0
4.7,5.8,51,8,1.3,2,9,7,1,0.3,60,10,4.1,1.2,1.3,6,5.0,10.0
8.8,7.1,59,10,0.2,10,4,2,1,1.1,141,14,0.9,0.5,1.2,8,5.5,10.0
8.9,7.0,93,9,1.4,9,8,3,0,0.0,70,5,1.8,1.8,0.5,9,4.4,10.0
3.0,3.5,83,1,1.9,1,4,3,1,0.6,35,17,2.3,3.3,1.0,1,9.6,10.0
4.5,7.8,74,4,0.6,7,9,3,0,1.3,104,15,0.8,0.0,0.9,4,4.1,6.5
5.4,7.5,57,10,0.0,4,2,2,1,0.4,80,20,2.5,0.4,1.6,1,5.1,10.0
6.3,3.0,74,10,0.7,6,2,4,1,0.7,95,8,2.5,0.9,0.2,2,3.1,10.0
5.9,5.8,71,2,2.0,6,7,1,1,1.5,76,18,1.4,1.6,2.0,4,7.7,10.0
10.6,9.1,93,8,2.8,10,6,8,1,1.4,36,7,3.7,1.2,2.5,8,6.3,10.0
4.3,6.3,87,6,1.8,3,9,3,1,1.1,129,20,1.2,1.5,1.3,7,6.1,10.0
7.9,6.5,61,9,2.1,1,3,7,1,1.1,49,5,2.6,1.5,2.3,5,5.7,10.0
2.8,5.9,57,2,1.0,6,6,1,0,1.0,81,16,1.7,1.7,1.0,2,8.0,8.1
3.8,6.7,60,4,2.8,4,4,3,1,1.1,24,19,1.3,1.8,0.4,5,7.7,7.8
5.6,9.4,83,7,0.3,9,9,8,0,1.2,77,19,1.4,2.5,0.9,8,4.3,10.0
9.7,5.8,76,0,2.6,2,7,9,1,1.5,100,12,1.7,0.4,0.6,7,7.6,10.0
4.3,8.0,74,9,1.4,8,3,4,0,1.3,22,16,2.6,2.4,1.9,1,5.1,8.9
5.0,3.3,98,8,1.5,5,6,7,1,0.0,48,18,3.0,2.2,2.5,7,5.2,10.0
4.8,10.0,57,0,0.4,10,4,7,1,0.2,92,7,2.1,1.3,0.5,7,1.5,6.4
4.2,7.0,62,6,0.4,8,3,8,0,0.9,68,14,1.8,1.9,1.3,6,4.3,8.6
8.4,7.7,99,5,0.4,6,5,4,1,0.3,143,6,2.7,0.8,0.9,1,8.1,10.0
6.2,7.9,79,5,2.6,1,4,2,0,0.7,71,17,0.9,0.6,0.2,10,8.1,8.6
4.8,5.4,82,2,1.3,5,8,2,0,0.9,39,14,1.4,1.6,0.5,7,7.9,8.7
8.0,7.7,75,1,1.0,4,6,4,0,0.2,107,11,2.7,1.3,1.6,3,5.3,10.0
6.7,3.5,74,10,0.0,2,7,3,1,0.6,70,11,0.4,1.0,0.2,7,7.1,10.0
7.2,4.4,52,5,0.1,6,2,9,0,0.5,50,13,1.5,0.3,0.0,5,6.4,10.0
6.0,5.6,89,5,0.9,1,7,8,0,1.6,112,19,2.7,1.8,1.1,7,4.7,10.0
7.4,4.6,86,6,0.0,8,3,9,1,1.6,90,20,2.3,1.3,0.0,2,7.0,10.0
7.5,8.5,82,7,1.2,3,9,8,0,2.2,45,15,2.2,0.7,1.1,3,6.2,10.0
7.0,6.8,77,9,0.0,10,6,9,0,0.6,140,10,3.4,1.4,1.1,6,5.1,10.0
5.8,7.3,77,10,0.4,10,3,7,1,1.2,74,8,2.0,1.5,2.1,8,5.9,8.7
3.9,8.0,57,9,0.4,1,5,6,0,2.1,92,10,2.4,0.0,0.7,1,7.3,6.1
5.3,6.2,91,6,1.3,6,10,7,0,0.8,143,16,1.7,0.2,0.7,2,7.3,10.0
3.0,5.6,77,1,0.4,7,7,6,0,1.4,27,17,4.0,0.9,0.9,1,5.3,9.0
